date,Bjorn Borg,John McEnroe,Novak Djokovic,Ivan Lendl,Jimmy Connors,Rafael Nadal,Roger Federer,Andy Murray,Jannik Sinner,Boris Becker,Guillermo Vilas,Carlos Alcaraz,Rod Laver,Stefan Edberg,Pete Sampras,Arthur Ashe,Mats Wilander,Andre Agassi,Ilie Nastase,Stan Smith,Vitas Gerulaitis,Gene Mayer,Ken Rosewall,John Newcombe,Brian Gottfried,Daniil Medvedev,Jose Luis Clerc,Tom Okker,David Ferrer,Jim Courier,Juan Martin del Potro,Alexander Zverev,Eddie Dibbs,Manuel Orantes,Miloslav Mecir,Kei Nishikori,Lleyton Hewitt,Joakim Nystrom,Gustavo Kuerten,Raul Ramirez
1968-05-15,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1600.695612049736,1500.0,1500.0,1629.8278815966985,1500.0,1500.0,1615.4482427959908,1596.44189552094,1500.0,1500.0,1583.15519594529,1521.5117753461936,1500.0,1500.0,1500.0,1679.4199663404163,1500.0,1500.0,1500.0,1500.0,1500.0,1568.5411807216988,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-05-24,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1600.695612049736,1500.0,1500.0,1642.123704983512,1500.0,1500.0,1627.399462935075,1596.44189552094,1500.0,1500.0,1583.15519594529,1521.5117753461936,1500.0,1500.0,1500.0,1679.4199663404163,1500.0,1500.0,1500.0,1500.0,1500.0,1568.5411807216988,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-05-27,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1651.6910782981436,1500.0,1500.0,1642.123704983512,1500.0,1500.0,1635.0824783785315,1596.44189552094,1500.0,1500.0,1640.6567922761274,1521.5117753461936,1500.0,1500.0,1500.0,1679.4199663404163,1500.0,1500.0,1500.0,1500.0,1500.0,1552.2972169132638,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-05-29,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1651.6910782981436,1500.0,1500.0,1661.1289236234654,1500.0,1500.0,1635.0824783785315,1601.9042477577334,1500.0,1500.0,1640.6567922761274,1521.5117753461936,1500.0,1500.0,1500.0,1709.7197530754224,1500.0,1500.0,1500.0,1500.0,1500.0,1552.2972169132638,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-05-31,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1651.6910782981436,1500.0,1500.0,1661.1289236234654,1500.0,1500.0,1635.0824783785315,1601.9042477577334,1500.0,1500.0,1640.6567922761274,1511.472880767593,1500.0,1500.0,1500.0,1709.7197530754224,1500.0,1500.0,1500.0,1500.0,1500.0,1552.2972169132638,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-06-06,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1651.6910782981436,1500.0,1500.0,1661.1289236234654,1500.0,1500.0,1635.0824783785315,1601.9042477577334,1500.0,1500.0,1640.6567922761274,1511.472880767593,1500.0,1500.0,1500.0,1701.4050092610564,1500.0,1500.0,1500.0,1500.0,1500.0,1552.2972169132638,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-06-07,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1651.6910782981436,1500.0,1500.0,1665.4366227882226,1500.0,1500.0,1635.0824783785315,1601.9042477577334,1500.0,1500.0,1640.6567922761274,1511.472880767593,1500.0,1500.0,1500.0,1701.4050092610564,1500.0,1500.0,1500.0,1500.0,1500.0,1552.2972169132638,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-06-10,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1651.6910782981436,1500.0,1500.0,1678.2432335545993,1500.0,1500.0,1633.0418948841098,1601.9042477577334,1500.0,1500.0,1640.6567922761274,1511.472880767593,1500.0,1500.0,1500.0,1736.2884180654953,1500.0,1500.0,1500.0,1500.0,1500.0,1552.2972169132638,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-06-12,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1679.5285709623618,1500.0,1500.0,1678.2432335545993,1500.0,1500.0,1633.0418948841098,1601.9042477577334,1500.0,1500.0,1644.491960271946,1520.2677466464015,1500.0,1500.0,1500.0,1736.2884180654953,1500.0,1500.0,1500.0,1500.0,1500.0,1552.2972169132638,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-06-17,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1704.0539380525186,1500.0,1500.0,1701.7486283951455,1500.0,1500.0,1633.0418948841098,1601.9042477577334,1500.0,1500.0,1644.491960271946,1520.2677466464015,1500.0,1500.0,1500.0,1734.3534803228154,1500.0,1500.0,1500.0,1500.0,1500.0,1543.8909512849434,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
