date,Bjorn Borg,John McEnroe,Novak Djokovic,Ivan Lendl,Jimmy Connors
1983-08-30,2254.8917384070323,2194.299603105544,1500.0,2178.6149159451643,2178.5300065997894
1983-09-12,2254.8917384070323,2194.299603105544,1500.0,2178.6149159451643,2178.929053362879
1983-09-19,2254.8917384070323,2189.5543124343135,1500.0,2185.3484604611253,2178.929053362879
1983-09-30,2254.8917384070323,2182.194326265485,1500.0,2185.3484604611253,2178.929053362879
1983-10-10,2254.8917384070323,2183.4093401955424,1500.0,2193.0287975550914,2178.929053362879
1983-10-24,2254.8917384070323,2183.4093401955424,1500.0,2181.8663052476063,2168.9595419647344
1983-11-07,2254.8917384070323,2188.759650029481,1500.0,2181.8663052476063,2159.138769956477
1983-11-29,2254.8917384070323,2191.5104096097702,1500.0,2183.3464782439532,2159.138769956477
1984-01-10,2254.8917384070323,2193.934003343358,1500.0,2192.175061072862,2161.2170079431658
1984-01-23,2254.8917384070323,2220.1998585016813,1500.0,2184.853323001892,2161.2170079431658
1984-02-06,2254.8917384070323,2220.842229626561,1500.0,2184.853323001892,2155.9810724729473
1984-02-13,2254.8917384070323,2220.842229626561,1500.0,2184.853323001892,2171.19096860066
1984-02-24,2254.8917384070323,2224.6745310204624,1500.0,2184.853323001892,2171.7608081944927
1984-02-27,2254.8917384070323,2232.911790704761,1500.0,2184.853323001892,2173.74987277903
1984-03-05,2254.8917384070323,2234.2740293813245,1500.0,2185.730383867462,2173.74987277903
1984-03-12,2254.8917384070323,2234.2740293813245,1500.0,2188.4285937727686,2163.0763813818817
1984-03-26,2254.8917384070323,2234.2740293813245,1500.0,2188.4285937727686,2175.9816678508646
1984-04-09,2254.8917384070323,2234.2740293813245,1500.0,2190.0447147590385,2175.9816678508646
1984-04-16,2254.8917384070323,2234.2740293813245,1500.0,2197.542319485456,2175.9816678508646
1984-04-24,2254.8917384070323,2245.6650913693006,1500.0,2197.542319485456,2177.464758281887
1984-05-06,2254.8917384070323,2253.60451803513,1500.0,2189.041961425148,2175.1130206262287
1984-05-21,2254.8917384070323,2274.002571197664,1500.0,2190.3287058726632,2175.1130206262287
1984-05-28,2254.8917384070323,2275.2357781088917,1500.0,2212.74350130231,2171.5708007971675
1984-06-11,2254.8917384070323,2275.47672159898,1500.0,2198.8658635612423,2168.639840408532
1984-06-25,2254.8917384070323,2286.6770449823694,1500.0,2201.7677341716803,2180.8290133287423
1984-07-13,2254.8917384070323,2293.562423876247,1500.0,2182.5660232065197,2176.106766862822
1984-07-16,2222.643219662932,2293.562423876247,1500.0,2182.5660232065197,2176.106766862822
1984-08-13,2222.643219662932,2294.2282759126074,1500.0,2169.395270074939,2177.874708949284
1984-08-20,2222.643219662932,2287.3927230834283,1500.0,2169.395270074939,2178.2538560912085
1984-08-28,2222.643219662932,2302.3830984716096,1500.0,2181.1110786543545,2176.889073301195
1984-09-10,2222.643219662932,2302.3830984716096,1500.0,2181.1110786543545,2175.480663753609
1984-09-17,2222.643219662932,2302.711982639577,1500.0,2181.1110786543545,2175.480663753609
