player,age,elo,helo,helo_rank,celo,celo_rank,gelo,gelo_rank,peak_elo,peak_month,atp_rank,log_diff
Albert Ramos,37.7,1557.7,1520.0,198.0,1526.1,189.0,1424.1,299.0,1889.0,2017-04,353.0,-0.52
Sumit Nagal,28.1,1556.9,1528.4,188.0,1533.5,180.0,1410.9,322.0,1745.2,2019-09,276.0,-0.27
Jack Pinnington Jones,22.5,1555.6,1478.7,238.0,1429.4,281.0,1585.2,106.0,1640.9,2025-07,190.0,0.1
Elias Ymer,29.5,1554.6,1528.1,189.0,1507.7,208.0,1511.1,178.0,1751.8,2015-06,189.0,0.11
Chun Hsin Tseng,24.2,1551.0,1475.3,239.0,1573.5,153.0,1403.7,332.0,1715.6,2022-04,131.0,0.49
Thiago Monteiro,31.3,1550.8,1524.2,193.0,1539.5,177.0,1462.2,233.0,1748.2,2024-05,176.0,0.2
Mikhail Kukushkin,37.7,1550.7,1509.3,210.0,1528.3,186.0,1532.6,157.0,1864.2,2010-10,314.0,-0.38
Cedrik Marcel Stebe,35.0,1550.5,1521.9,196.0,1541.9,175.0,1460.4,238.0,1824.7,2017-09,426.0,-0.68
Pavel Kotov,26.9,1550.4,1515.5,200.0,1534.0,179.0,1479.2,212.0,1797.1,2024-05,454.0,-0.74
Alejandro Moro Canas,24.8,1548.3,1520.2,197.0,1506.1,210.0,1497.5,196.0,1673.5,2024-07,238.0,-0.09
Alexander Ritschard,31.4,1547.6,1463.4,258.0,1566.8,162.0,1479.1,213.0,1695.9,2024-07,522.0,-0.87
Moez Echargui,32.7,1545.6,1522.5,195.0,1447.1,262.0,1472.8,220.0,1647.0,2025-09,140.0,0.45
Francesco Maestrelli,22.8,1545.0,1501.8,217.0,1518.2,196.0,1418.0,306.0,1711.4,2022-07,154.0,0.36
Henri Squire,25.0,1543.9,1469.7,248.0,1532.6,183.0,1385.4,369.0,1670.0,2024-06,257.0,-0.15
Trevor Svajda,19.4,1543.6,1510.0,207.0,1381.8,331.0,1471.8,222.0,1625.4,2025-09,387.0,-0.55
Luka Pavlovic,25.5,1542.8,1381.2,338.0,1522.1,192.0,1499.3,192.0,1635.0,2025-07,210.0,0.06
Gonzalo Bueno,21.5,1540.8,1306.9,411.0,1522.9,191.0,1470.4,224.0,1578.2,2025-10,218.0,0.03
Daniil Glinka,25.4,1538.2,1509.8,208.0,1519.1,194.0,1519.1,169.0,1579.0,2025-09,256.0,-0.12
Jay Dylan Hara Friend,21.8,1537.4,1523.1,194.0,1373.6,344.0,1468.7,227.0,1581.8,2025-10,482.0,-0.75
Dominic Stricker,23.1,1535.6,1500.0,218.0,1493.6,221.0,1531.3,158.0,1798.6,2021-06,345.0,-0.41
